Position = 0346, Accumulator = 0.000000e+00, Counter = 0
Position = 0347, Accumulator = 0.000000e+00, Counter = 2
Position = 0348, Accumulator = 0.000000e+00, Counter = 0
Position = 0349, Accumulator = 0.000000e+00, Counter = 0
Position = 0350, Accumulator = 0.000000e+00, Counter = 2
Position = 0351, Accumulator = 0.000000e+00, Counter = 2
Position = 0352, Accumulator = 0.000000e+00, Counter = 0
Position = 0353, Accumulator = 0.000000e+00, Counter = 0
Position = 0354, Accumulator = 0.000000e+00, Counter = 0
Position = 0355, Accumulator = 0.000000e+00, Counter = 0
Position = 0356, Accumulator = 0.000000e+00, Counter = 1
Position = 0357, Accumulator = 0.000000e+00, Counter = 2
Position = 0358, Accumulator = 0.000000e+00, Counter = 2
Position = 0359, Accumulator = 0.000000e+00, Counter = 0
Position = 0360, Accumulator = 0.000000e+00, Counter = 1
Position = 0361, Accumulator = 0.000000e+00, Counter = 0
Position = 0362, Accumulator = 0.000000e+00, Counter = 0
Position = 0363, Accumulator = 0.000000e+00, Counter = 0
Position = 0364, Accumulator = 3.742331e-61, Counter = 4
Position = 0365, Accumulator = 0.000000e+00, Counter = 0
Position = 0366, Accumulator = 0.000000e+00, Counter = 0
Position = 0367, Accumulator = 0.000000e+00, Counter = 0
Position = 0368, Accumulator = 0.000000e+00, Counter = 0
Position = 0369, Accumulator = 0.000000e+00, Counter = 0
Position = 0370, Accumulator = 0.000000e+00, Counter = 0
Position = 0371, Accumulator = 0.000000e+00, Counter = 0
Position = 0372, Accumulator = 0.000000e+00, Counter = 1
Position = 0373, Accumulator = 0.000000e+00, Counter = 0
Position = 0374, Accumulator = 0.000000e+00, Counter = 0
Position = 0375, Accumulator = 0.000000e+00, Counter = 0
Position = 0376, Accumulator = 0.000000e+00, Counter = 1
Position = 0377, Accumulator = 0.000000e+00, Counter = 2
Position = 0378, Accumulator = 0.000000e+00, Counter = 0
Position = 0379, Accumulator = 0.000000e+00, Counter = 0
Position = 0380, Accumulator = 0.000000e+00, Counter = 0
Position = 0381, Accumulator = 0.000000e+00, Counter = 0
Position = 0382, Accumulator = 0.000000e+00, Counter = 0
Position = 0383, Accumulator = 0.000000e+00, Counter = 0
Position = 0384, Accumulator = 0.000000e+00, Counter = 0
Position = 0385, Accumulator = 0.000000e+00, Counter = 0
Position = 0386, Accumulator = 0.000000e+00, Counter = 0
Position = 0387, Accumulator = 0.000000e+00, Counter = 0
Position = 0388, Accumulator = 0.000000e+00, Counter = 0
Position = 0389, Accumulator = 0.000000e+00, Counter = 0
Position = 0390, Accumulator = 0.000000e+00, Counter = 0
Position = 0391, Accumulator = 0.000000e+00, Counter = 0
Position = 0392, Accumulator = 0.000000e+00, Counter = 0
Position = 0393, Accumulator = 0.000000e+00, Counter = 0
Position = 0394, Accumulator = 0.000000e+00, Counter = 1
Position = 0395, Accumulator = 0.000000e+00, Counter = 2
Position = 0396, Accumulator = 0.000000e+00, Counter = 0
Position = 0397, Accumulator = 0.000000e+00, Counter = 0
Position = 0398, Accumulator = 0.000000e+00, Counter = 0
Position = 0399, Accumulator = 0.000000e+00, Counter = 0
Position = 0400, Accumulator = 0.000000e+00, Counter = 0
Position = 0401, Accumulator = 0.000000e+00, Counter = 0
Position = 0402, Accumulator = 0.000000e+00, Counter = 1
